GT01,28.4466396253494
GT02,20.4720755695591
GT03,22.3403357521429
GT04,15.3313237964589
GT05,26.7778070526608
GT06,23.6552272983927
GT07,24.2101715729721
GT08,15.6224943717961
GT09,25.4287537369659
GT10,20.5848856736560
GT11,19.3107238831793
GT12,27.8807891569149
GT13,24.3651891460559
GT14,19.2811799269387
GT15,11.6749108729376
GT16,25.4439388741813
GT17,22.2548303427145
GT18,21.7848647159523
GT19,27.3282827159699
GT20,17.3282827159699
GT21,22.2548303427145
GT22,23.0980391997149
GT23,18.0966830182971
GT24,13.7613073164970
GT25,12.6042765554991
GT26,12.3062267392386
